date,temperature,sunshine_duration,precipitatio,wind_speed,shortwave_radiation
2023-11-27,2.6819165,0.0,9.699999,24.20314,1.34
2023-11-26,2.9215,0.0,7.0,11.269782,2.02
2023-11-25,2.6881664,9942.811,7.6999993,17.727943,3.97
2023-11-24,1.8860832,20855.568,3.1,21.829777,4.92
2023-11-23,5.304833,131.54228,2.3999999,24.482647,1.47
2023-11-22,2.5839999,27916.824,0.0,6.849467,6.46
2023-11-21,4.9839997,1441.5868,0.8000001,15.937878,2.28
2023-11-20,7.531916,12819.156,6.7999997,12.261157,3.18
2023-11-19,9.719416,22197.791,0.0,17.298738,5.74
2023-11-18,11.300666,7651.883,8.400001,20.46941,3.32
2023-11-17,5.5340004,9933.678,4.2,7.2359104,2.96
2023-11-16,6.1610837,2828.176,12.200003,36.707645,1.76
2023-11-15,6.398583,3600.0,13.8,40.93882,2.43
2023-11-14,8.588166,25874.662,7.5999994,19.855558,5.01
2023-11-13,11.800667,0.0,40.699997,26.903828,1.01
2023-11-12,12.452748,0.0,7.399999,26.044699,1.58
2023-11-11,4.988166,0.0,16.6,27.169865,0.76
2023-11-10,5.5277505,28592.602,5.299999,26.66188,5.22
2023-11-09,6.2631664,10800.0,10.400001,17.072504,3.61
2023-11-08,5.638166,0.0,0.8000001,8.714677,2.3
2023-11-07,6.273584,30416.95,0.0,9.422101,8.4
2023-11-06,7.169418,24710.934,3.2,18.847641,7.58
2023-11-05,8.706916,22246.229,6.2,17.673029,5.54
2023-11-04,8.879834,24489.248,13.2,32.20944,5.78
2023-11-03,6.534,8322.253,9.800001,11.966953,3.66
2023-11-02,6.4214993,4874.1465,2.1,12.758432,4.39
2023-11-01,7.534,0.0,11.2,9.387651,1.68
2023-10-31,8.827748,21787.348,0.0,10.829958,7.37
2023-10-30,10.34025,8726.997,2.9,22.007162,3.66
2023-10-29,11.496499,19867.844,14.499999,16.135872,6.38
2023-10-28,12.036082,32242.154,0.0,12.783802,8.16
2023-10-27,10.933999,30274.63,0.0,14.986553,9.08
2023-10-26,11.450665,32620.77,14.1,23.795427,9.98
2023-10-25,12.79025,1198.5322,14.099999,20.345573,4.23
2023-10-24,12.319417,21386.852,6.5,24.567198,7.7
2023-10-23,10.733998,0.0,11.100002,7.8954163,1.9
2023-10-22,10.354834,21433.5,0.0,11.525623,6.95
2023-10-21,11.758999,34196.27,0.0,9.826088,10.84
2023-10-20,12.148582,22368.424,7.8,13.830749,6.5
2023-10-19,13.090251,0.0,16.5,19.33639,2.62
2023-10-18,12.817333,11132.404,1.2,9.227524,5.94
2023-10-17,9.54025,16042.141,2.1999998,7.072878,6.85
2023-10-16,7.5839996,34960.906,0.0,6.489992,11.18
2023-10-15,7.827749,35056.543,0.0,11.988594,12.44
2023-10-14,10.029833,28800.0,0.70000005,14.05845,9.25
2023-10-13,15.354833,26790.166,9.1,24.627787,8.79
2023-10-12,16.494413,35570.164,0.0,9.290511,13.1
2023-10-11,16.834002,33988.11,0.0,13.53236,12.47
2023-10-10,17.036081,35950.43,0.0,9.220499,13.49
2023-10-09,17.2215,35784.65,0.0,8.350138,12.12
2023-10-08,18.156918,32677.564,0.0,7.342588,12.66
2023-10-07,17.15275,36700.418,0.0,8.049845,13.73
2023-10-06,15.473583,37050.293,0.0,5.8048253,13.13
2023-10-05,13.981915,35939.297,0.0,6.162207,13.55
2023-10-04,12.994415,22935.3,0.0,7.10031,12.2
2023-10-03,14.986081,33449.406,0.0,9.178235,12.78
2023-10-02,18.559,36000.0,4.8999996,18.792551,13.6
2023-10-01,17.761082,38059.27,0.0,6.9153743,14.35
2023-09-30,16.286081,36892.418,0.0,5.937272,14.9
2023-09-29,17.617332,19885.055,0.0,7.2,9.56
2023-09-28,18.256918,38029.2,0.0,16.78156,14.85
2023-09-27,18.148582,37630.805,0.0,6.9899354,15.88
2023-09-26,15.713166,38674.69,0.0,9.9571085,15.4
2023-09-25,15.415249,36032.727,0.0,4.2136917,15.61
2023-09-24,13.044417,39029.566,0.0,7.5685663,16.82
2023-09-23,12.738166,39048.477,0.0,16.92383,15.52
2023-09-22,12.838165,24773.11,2.2,11.440978,11.37
2023-09-21,14.744418,26942.52,28.6,10.514218,8.51
2023-09-20,18.963163,32779.246,12.700001,16.700275,14.55
2023-09-19,17.963167,39828.69,0.0,7.6367526,16.68
2023-09-18,17.74858,35072.63,1.6000001,11.709688,13.06
2023-09-17,18.581919,4884.2705,10.700001,12.397806,6.53
2023-09-16,21.675665,39510.965,0.0,7.42159,16.0
2023-09-15,19.3715,39755.535,0.0,8.891343,16.6
2023-09-14,18.150667,28420.86,0.0,6.725354,13.37
2023-09-13,18.319416,39987.8,0.8000001,12.181624,14.95
2023-09-12,19.711082,27283.51,13.3,10.823973,12.65
2023-09-11,21.71733,40642.08,0.0,9.693296,16.17
2023-09-10,22.933998,40566.63,0.0,7.24486,19.12
2023-09-09,23.269417,41826.18,0.0,7.69592,19.41
2023-09-08,23.050665,41967.33,0.0,6.725354,19.26
2023-09-07,22.471498,42369.137,0.0,7.928178,19.5
2023-09-06,20.981916,42963.242,0.0,6.725354,19.87
2023-09-05,19.113167,43435.94,0.0,7.928177,20.19
2023-09-04,19.086082,43778.375,0.0,9.085988,20.75
2023-09-03,20.211082,43328.133,0.0,13.397612,20.37
2023-09-02,20.261084,41403.387,0.0,11.808878,19.38
2023-09-01,19.948584,44360.54,0.0,8.4963045,20.58
2023-08-31,19.277746,41808.496,0.7,12.413477,19.41
2023-08-30,15.2715,16871.297,4.6,9.659814,10.75
2023-08-29,15.063168,43586.734,0.8,10.308831,18.64
2023-08-28,12.654834,0.0,12.800001,8.287822,4.6
2023-08-27,13.763167,0.0,38.8,16.946787,2.31
2023-08-26,16.77983,1748.9996,13.600001,9.686609,5.53
2023-08-25,18.667334,14942.24,13.000001,18.25026,7.78
2023-08-24,23.9465,45330.387,1.0,15.9134655,19.72
2023-08-23,25.150667,42946.867,0.7,18.345877,20.64
2023-08-22,26.386084,46219.742,0.0,12.371645,21.96
2023-08-21,26.550665,46399.87,0.0,6.5693827,21.62
2023-08-20,26.350668,46579.43,0.0,6.439876,22.04
2023-08-19,25.323584,46711.605,0.0,6.9247384,22.5
2023-08-18,25.498583,46800.0,0.0,6.9899354,22.41
2023-08-17,23.729834,46800.0,0.0,7.9932966,23.19
2023-08-16,22.813166,40740.023,0.3,9.360001,19.21
2023-08-15,23.859,46800.0,0.2,6.489992,23.22
2023-08-14,24.104834,45943.613,7.1,10.464797,21.39
2023-08-13,24.41733,46800.0,0.0,7.386582,22.63
2023-08-12,23.17983,43200.0,0.0,7.10031,21.46
2023-08-11,22.727747,43200.0,2.0,17.462782,20.1
2023-08-10,22.402748,46910.457,0.0,5.8603754,24.57
2023-08-09,20.304832,46800.0,0.0,7.69592,24.61
2023-08-08,18.144415,24391.924,0.0,14.081477,14.12
2023-08-07,15.979832,41359.914,0.0,11.019764,20.39
2023-08-06,13.481915,41556.074,3.3999996,16.394829,18.55
2023-08-05,14.021501,22807.535,17.8,24.442911,10.66
2023-08-04,16.623583,38707.027,2.1000001,10.739833,17.77
2023-08-03,16.567333,35067.633,9.599999,15.077082,17.57
2023-08-02,19.404833,47190.527,0.0,26.309572,24.86
2023-08-01,20.7465,33488.03,1.2,35.27449,19.43
2023-07-31,18.346498,14858.717,24.300001,21.659918,10.81
2023-07-30,18.706917,34491.27,0.0,10.105681,22.42
2023-07-29,18.96525,38994.082,6.899999,18.971008,19.71
2023-07-28,19.042334,14597.97,10.499998,15.119999,12.78
2023-07-27,19.565252,47015.535,4.8999996,20.808498,20.04
2023-07-26,17.82775,33502.31,0.0,13.363711,18.8
2023-07-25,14.225666,36986.25,5.7,16.343367,16.26
2023-07-24,17.077751,45873.4,30.500002,23.688984,20.02
2023-07-23,19.336084,17681.03,11.800001,16.700275,13.41
2023-07-22,22.04025,50548.812,0.0,13.246826,25.64
2023-07-21,19.942335,46244.324,1.1,13.397612,24.75
2023-07-20,18.82775,48203.945,4.1,19.483284,21.85
2023-07-19,20.77358,45681.38,0.8000001,7.653705,22.69
2023-07-18,21.27983,46596.973,27.199999,14.84318,20.69
2023-07-17,21.167334,38028.652,28.9,14.291592,18.61
2023-07-16,21.577751,41314.812,1.9000001,8.287822,23.99
2023-07-15,19.638166,38067.5,4.9999995,16.24394,18.96
2023-07-14,25.636084,51945.656,0.0,11.609651,26.2
2023-07-13,21.27775,52039.227,0.0,7.729527,27.11
2023-07-12,19.8965,31726.16,6.2999997,9.605998,17.11
2023-07-11,21.234,27737.604,33.499996,17.31746,16.43
2023-07-10,26.163168,49481.203,0.7,13.363711,24.19
2023-07-09,24.627752,46051.82,2.2,10.464797,22.63
2023-07-08,26.138168,50962.066,0.0,6.130579,27.0
2023-07-07,23.24858,48199.77,0.0,10.195057,24.16
2023-07-06,21.9965,52601.723,0.0,9.0,27.77
2023-07-05,19.244417,49746.688,0.0,7.7043357,25.51
2023-07-04,18.111084,51685.746,2.0,19.855558,21.36
2023-07-03,19.4465,45269.6,9.3,9.726665,24.85
2023-07-02,19.42983,32400.0,0.3,16.954432,17.55
2023-07-01,18.89025,33880.76,3.4999995,14.764389,17.58
2023-06-30,19.26525,40627.8,0.70000005,18.58451,22.95
2023-06-29,18.961084,14990.764,9.8,12.43434,12.85
2023-06-28,21.34025,43096.48,0.70000005,8.287822,25.27
2023-06-27,20.07775,48527.957,0.0,9.007196,23.01
2023-06-26,20.184,45720.383,0.5,8.647496,23.66
2023-06-25,23.408995,50333.54,0.1,15.256526,25.11
2023-06-24,21.636084,53115.36,0.0,9.793059,29.02
2023-06-23,19.677752,53129.59,0.0,18.847641,28.52
2023-06-22,19.425665,47840.28,7.0999994,16.327497,22.55
2023-06-21,22.606913,36562.945,8.7,17.731598,21.4
2023-06-20,22.950666,47188.58,1.6,9.107359,23.12
2023-06-19,23.877748,38306.29,8.800001,19.469976,22.83
2023-06-18,23.15483,48933.965,7.9999995,9.726665,25.34
2023-06-17,23.400667,51185.906,0.0,10.182337,27.73
2023-06-16,21.598581,53106.99,0.0,7.5170207,27.54
2023-06-15,20.32358,52811.797,0.0,8.78872,27.21
2023-06-14,19.386084,51911.59,0.1,9.779817,25.79
2023-06-13,19.123583,48191.555,0.0,19.483284,27.86
2023-06-12,19.346498,52999.9,0.0,14.76439,28.93
2023-06-11,20.1715,52962.69,0.0,13.513193,28.92
2023-06-10,20.879831,52921.387,0.0,16.42247,26.72
2023-06-09,20.367332,52205.902,0.1,10.97262,27.19
2023-06-08,20.436083,51840.043,0.0,11.435313,27.99
